loss,val_loss,lr
2.8074793815612793,2.4589028358459473,1e-04
2.637316942214966,2.0430378913879395,1e-04
2.515463352203369,2.3552510738372803,1e-04
2.331301689147949,2.316431999206543,1e-04
2.0901787281036377,2.321087121963501,1e-04
1.981943130493164,2.4098591804504395,1e-04
1.7374541759490967,4.907203197479248,1e-04
1.4758952856063843,4.972656726837158,5e-05
1.497157335281372,3.0147457122802734,5e-05
1.414764404296875,4.980777263641357,5e-05
1.3403507471084595,10.22453498840332,5e-05
1.3206357955932617,2.465625524520874,5e-05
